"","player_name","position","date_of_birth","age","nationality","club_name","league_name","season","year","first_name","second_name","goals_scored","assists","total_points","minutes.played","goals_conceded","creativity","influence","threat","bonus","bps","ict_index","clean_sheets","red_cards","yellow_cards","selected_by_percent","now_cost","position_index","fpl_to_min"
"224","Mark Noble","Central Midfield","1987-05-08T00:00:00Z",30,"England","West Ham United","Premier League","2017/2018",2017,"Mark","Noble",4,0,84,2400,45,337.8,527.6,141,7,461,100.8,7,0,6,0.3,53,"3",3.5
"225","Edimilson Fernandes","Central Midfield","1996-04-15T00:00:00Z",21,"Switzerland","West Ham United","Premier League","2017/2018",2017,"Edimilson","Fernandes",0,2,29,840,20,97.3,110.8,77,0,123,28.6,2,0,1,0.2,43,"3",3.45238095238095
"226","Josh Cullen","Central Midfield","1996-04-07T00:00:00Z",21,"Ireland","West Ham United","Premier League","2017/2018",2017,"Josh","Cullen",0,0,2,6,0,0.6,7.2,0,0,7,0.8,0,0,0,0,45,"3",33.3333333333333
"227","Moses Makasi","Central Midfield","1995-09-22T00:00:00Z",21,"England","West Ham United","Premier League","2017/2018",2017,"Moses","Makasi",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,"3",NA
"228","Domingos Quina","Central Midfield","1999-11-18T00:00:00Z",17,"Portugal","West Ham United","Premier League","2017/2018",2017,"Domingos","Quina",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,"3",NA
"229","Sead Haksabanovic","Left Midfield","1999-05-04T00:00:00Z",18,"Montenegro","West Ham United","Premier League","2017/2018",2017,"Sead","Haksabanovic",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,"3",NA
"230","Manuel Lanzini","Attacking Midfield","1993-02-15T00:00:00Z",24,"Argentina","West Ham United","Premier League","2017/2018",2017,"Manuel","Lanzini",5,7,106,2039,44,624.9,559.4,502,11,470,168.8,6,0,4,0.8,66,"3",5.19862677783227
"231","Marcus Browne","Attacking Midfield","1997-12-18T00:00:00Z",19,"England","West Ham United","Premier League","2017/2018",2017,"Marcus","Browne",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,"3",NA
"232","André Ayew","Left Winger","1989-12-17T00:00:00Z",27,"Ghana","West Ham United","Premier League","2017/2018",2017,"André","Ayew",3,5,77,1834,42,283.1,319.4,429,2,249,102.7,3,0,5,1,68,"4",4.19847328244275
"233","Michail Antonio","Right Winger","1990-03-28T00:00:00Z",27,"England","West Ham United","Premier League","2017/2018",2017,"Michail","Antonio",3,2,62,1350,23,256.3,296.6,393,1,188,94.6,7,0,1,0.2,74,"4",4.59259259259259
"234","Robert Snodgrass","Right Winger","1987-09-07T00:00:00Z",29,"Scotland","West Ham United","Premier League","2017/2018",2017,"Robert","Snodgrass",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6,58,"4",NA
"235","Grady Diangana","Right Winger","1998-04-19T00:00:00Z",19,"England","West Ham United","Premier League","2017/2018",2017,"Grady","Diangana",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,"4",NA
"236","Javier Hernández Balcázar","Centre-Forward","1988-06-01T00:00:00Z",29,"Mexico","West Ham United","Premier League","2017/2018",2017,"Javier","Hernández Balcázar",8,2,93,1537,36,312.4,373.6,476,14,309,115,6,0,3,7.2,67,"5",6.05074821080026
"237","Marko Arnautovic","Centre-Forward","1989-04-19T00:00:00Z",28,"Austria","West Ham United","Premier League","2017/2018",2017,"Marko","Arnautovic",11,7,144,2309,50,543,713.8,1155,12,440,241.1,7,1,5,7.6,71,"5",6.23646600259853
"238","Diafra Sakho","Centre-Forward","1989-12-24T00:00:00Z",27,"Senegal","West Ham United","Premier League","2017/2018",2017,"Diafra","Sakho",2,1,24,294,11,25.1,77.6,110,1,65,21.2,0,0,2,0.1,55,"5",8.16326530612245
"239","Andy Carroll","Centre-Forward","1989-01-06T00:00:00Z",28,"England","West Ham United","Premier League","2017/2018",2017,"Andy","Carroll",3,1,36,742,13,110.2,145.4,344,6,106,58.8,3,1,5,0.3,57,"5",4.85175202156334
"240","Jordan Hugill","Centre-Forward","1992-06-04T00:00:00Z",25,"England","West Ham United","Premier League","2017/2018",2017,"Jordan","Hugill",0,0,3,22,0,0.4,0,0,0,4,0,0,0,0,0,49,"5",13.6363636363636
"241","Kasper Schmeichel","Goalkeeper","1986-11-05T00:00:00Z",30,"Denmark","Leicester City","Premier League","2017/2018",2017,"Kasper","Schmeichel",0,0,123,2965,47,11.1,687.2,0,17,592,69.9,8,0,3,4.1,51,"1",4.14839797639123
"242","Eldin Jakupovic","Goalkeeper","1984-10-02T00:00:00Z",32,"Switzerland","Leicester City","Premier League","2017/2018",2017,"Eldin","Jakupovic",0,0,4,180,6,0,67.8,0,0,36,6.8,0,0,0,0.1,42,"1",2.22222222222222
"243","Ben Hamer","Goalkeeper","1987-11-20T00:00:00Z",29,"England","Leicester City","Premier League","2017/2018",2017,"Ben","Hamer",0,0,9,274,7,0,51.8,0,0,54,5.1,1,0,0,0.1,43,"1",3.28467153284672
"244","Aleksandar Dragovic","Centre-Back","1991-03-06T00:00:00Z",26,"Austria","Leicester City","Premier League","2017/2018",2017,"Aleksandar","Dragovic",0,0,28,766,14,3.6,177.8,35,0,166,21.8,4,0,2,0.1,49,"2",3.65535248041775
"245","Harry Maguire","Centre-Back","1993-03-05T00:00:00Z",24,"England","Leicester City","Premier League","2017/2018",2017,"Harry","Maguire",2,4,117,3420,60,254.3,955.8,478,10,716,168.8,9,0,7,10.9,55,"2",3.42105263157895
"246","Robert Huth","Centre-Back","1984-08-18T00:00:00Z",32,"Germany","Leicester City","Premier League","2017/2018",2017,"Robert","Huth",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,48,"2",NA
"247","Wes Morgan","Centre-Back","1984-01-21T00:00:00Z",33,"Jamaica","Leicester City","Premier League","2017/2018",2017,"Wes","Morgan",0,0,61,2817,52,62,530,158,1,390,75.1,5,0,4,2.9,44,"2",2.16542421015264
"248","Yohan Benalouane","Centre-Back","1987-03-28T00:00:00Z",30,"Tunisia","Leicester City","Premier League","2017/2018",2017,"Yohan","Benalouane",0,0,1,90,2,1.3,24.8,18,0,7,4.4,0,0,0,0.1,42,"2",1.11111111111111
"249","Sam Hughes","Centre-Back","1997-04-15T00:00:00Z",20,"England","Leicester City","Premier League","2017/2018",2017,"Sam","Hughes",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,"2",NA
"250","Christian Fuchs","Left-Back","1986-04-07T00:00:00Z",31,"Austria","Leicester City","Premier League","2017/2018",2017,"Christian","Fuchs",0,1,57,1917,35,282.2,396.6,55,8,370,73.5,4,0,1,1.9,47,"2",2.97339593114241
"251","Danny Simpson","Right-Back","1987-01-04T00:00:00Z",30,"England","Leicester City","Premier League","2017/2018",2017,"Danny","Simpson",0,0,55,2306,41,121.2,444.2,42,0,342,60.7,5,0,4,2.2,43,"2",2.38508239375542
"252","Wilfred Ndidi","Defensive Midfield","1996-12-16T00:00:00Z",20,"Nigeria","Leicester City","Premier League","2017/2018",2017,"Wilfred","Ndidi",0,4,78,2896,45,230.7,640.4,299,4,449,117.2,9,2,6,0.4,49,"3",2.69337016574586
"253","Nampalys Mendy","Defensive Midfield","1992-06-23T00:00:00Z",25,"France","Leicester City","Premier League","2017/2018",2017,"Nampalys","Mendy",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,"3",NA
"254","Vicente Iborra","Defensive Midfield","1988-01-16T00:00:00Z",29,"Spain","Leicester City","Premier League","2017/2018",2017,"Vicente","Iborra",3,0,58,1411,23,131.6,341.6,150,6,293,62.3,3,0,0,0.1,57,"3",4.11055988660524
"255","Daniel Amartey","Defensive Midfield","1994-12-21T00:00:00Z",22,"Ghana","Leicester City","Premier League","2017/2018",2017,"Daniel","Amartey",0,0,13,486,7,10.3,81.2,0,0,53,9.2,3,1,0,0.2,43,"3",2.67489711934156
"256","Hamza Choudhury","Defensive Midfield","1997-10-01T00:00:00Z",19,"England","Leicester City","Premier League","2017/2018",2017,"Hamza","Choudhury",0,1,13,375,9,20.2,68,16,0,60,10.4,0,0,1,0,44,"3",3.46666666666667
"257","Andy King","Central Midfield","1988-10-29T00:00:00Z",28,"Wales","Leicester City","Premier League","2017/2018",2017,"Andy","King",3,1,51,1247,26,116.9,239.8,204,1,225,56.2,1,0,2,3.5,42,"3",4.08981555733761
"258","Matty James","Central Midfield","1991-07-22T00:00:00Z",25,"England","Leicester City","Premier League","2017/2018",2017,"Matty","James",0,0,26,991,15,52.7,114.6,145,0,121,31.4,4,0,2,0.2,44,"3",2.62361251261352
"259","Marc Albrighton","Right Midfield","1989-11-18T00:00:00Z",27,"England","Leicester City","Premier League","2017/2018",2017,"Marc","Albrighton",2,8,107,2533,42,718.3,580,300,12,458,160.2,8,1,5,2.2,55,"3",4.2242400315831
"260","Harvey Barnes","Attacking Midfield","1997-12-09T00:00:00Z",19,"England","Leicester City","Premier League","2017/2018",2017,"Harvey","Barnes",0,0,3,8,0,1,0.2,6,0,8,0.6,0,0,0,0,45,"3",37.5
"261","Demarai Gray","Left Winger","1996-06-28T00:00:00Z",21,"England","Leicester City","Premier League","2017/2018",2017,"Demarai","Gray",3,3,80,1683,35,412.8,290.6,461,2,308,116.7,4,0,2,0.6,53,"4",4.7534165181224
"262","Layton Ndukwu","Left Winger","1998-09-07T00:00:00Z",18,"England","Leicester City","Premier League","2017/2018",2017,"Layton","Ndukwu",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,"4",NA
"263","Riyad Mahrez","Right Winger","1991-02-21T00:00:00Z",26,"Algeria","Leicester City","Premier League","2017/2018",2017,"Riyad","Mahrez",12,13,195,2948,51,924,966,932,19,682,282.6,9,0,2,8.2,87,"4",6.6146540027137
"264","George Thomas","Right Winger","1997-03-24T00:00:00Z",20,"Wales","Leicester City","Premier League","2017/2018",2017,"George","Thomas",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,"4",NA
"265","Fousseni Diabaté","Right Winger","1995-10-18T00:00:00Z",21,"Mali","Leicester City","Premier League","2017/2018",2017,"Fousseni","Diabaté",0,1,21,579,12,130.8,98.6,67,0,72,29.7,0,0,1,0.1,49,"4",3.62694300518135
"266","Islam Slimani","Centre-Forward","1988-06-18T00:00:00Z",29,"Algeria","Leicester City","Premier League","2017/2018",2017,"Islam","Slimani",1,1,25,369,4,100.8,83.2,115,1,76,29.6,1,0,1,0.3,66,"5",6.77506775067751
"267","Ahmed Musa","Centre-Forward","1992-10-14T00:00:00Z",24,"Nigeria","Leicester City","Premier League","2017/2018",2017,"Ahmed","Musa",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4,61,"5",NA
"268","Kelechi Iheanacho","Centre-Forward","1996-10-03T00:00:00Z",20,"Nigeria","Leicester City","Premier League","2017/2018",2017,"Kelechi","Iheanacho",3,4,54,818,17,185.6,214.2,350,5,171,74.5,1,0,2,0.8,65,"5",6.60146699266504
"269","Jamie Vardy","Centre-Forward","1987-01-11T00:00:00Z",30,"England","Leicester City","Premier League","2017/2018",2017,"Jamie","Vardy",20,2,183,3248,57,439.9,822.8,1222,28,674,248.6,8,0,3,21.7,88,"5",5.63423645320197
"270","Shinji Okazaki","Centre-Forward","1986-04-16T00:00:00Z",31,"Japan","Leicester City","Premier League","2017/2018",2017,"Shinji","Okazaki",6,3,76,1314,19,228.1,347.6,508,7,275,107.9,5,0,2,2.9,53,"5",5.78386605783866
"271","Leonardo Ulloa","Centre-Forward","1986-07-26T00:00:00Z",30,"Argentina","Leicester City","Premier League","2017/2018",2017,"Leonardo","Ulloa",1,0,20,279,4,94.2,68,66,0,66,22.7,1,0,0,0.3,48,"5",7.16845878136201
"272","Fraser Forster","Goalkeeper","1988-03-17T00:00:00Z",29,"England","Southampton FC","Premier League","2017/2018",2017,"Fraser","Forster",0,0,73,1800,30,0,488.2,0,6,351,48.9,4,0,0,3.9,46,"1",4.05555555555556
"273","Alex McCarthy","Goalkeeper","1989-12-03T00:00:00Z",27,"England","Southampton FC","Premier League","2017/2018",2017,"Alex","McCarthy",0,0,52,1620,26,0,280.8,0,3,278,28.1,4,0,2,0.8,44,"1",3.20987654320988
"274","Stuart Taylor","Goalkeeper","1980-11-28T00:00:00Z",36,"England","Southampton FC","Premier League","2017/2018",2017,"Stuart","Taylor",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4,40,"1",NA
"275","Virgil van Dijk","Centre-Back","1991-07-08T00:00:00Z",25,"Netherlands","Southampton FC","Premier League","2017/2018",2017,"Virgil","van Dijk",0,0,78,2253,28,122.6,601,277,5,481,100.2,8,0,1,7.3,57,"2",3.46205059920106
"276","Wesley Hoedt","Centre-Back","1994-03-06T00:00:00Z",23,"Netherlands","Southampton FC","Premier League","2017/2018",2017,"Wesley","Hoedt",0,2,74,2520,42,130.9,661.6,146,11,532,93.8,5,0,7,0.1,50,"2",2.93650793650794
"277","Maya Yoshida","Centre-Back","1988-08-24T00:00:00Z",28,"Japan","Southampton FC","Premier League","2017/2018",2017,"Maya","Yoshida",2,1,76,2049,32,67,525.2,236,6,413,83,6,1,2,1.7,46,"2",3.70912640312347
"278","Jack Stephens","Centre-Back","1994-01-27T00:00:00Z",23,"England","Southampton FC","Premier League","2017/2018",2017,"Jack","Stephens",2,0,58,1980,33,68.3,506.6,224,2,360,79.9,5,1,6,0.5,45,"2",2.92929292929293
"279","Jan Bednarek","Centre-Back","1996-04-12T00:00:00Z",21,"Poland","Southampton FC","Premier League","2017/2018",2017,"Jan","Bednarek",1,0,22,427,5,1.9,110,19,0,88,13.1,2,0,1,0.6,41,"2",5.15222482435597
"280","Ryan Bertrand","Left-Back","1989-08-05T00:00:00Z",27,"England","Southampton FC","Premier League","2017/2018",2017,"Ryan","Bertrand",0,5,103,3135,49,589.1,515.2,286,4,553,139.3,8,0,2,5.2,53,"2",3.28548644338118
"281","Matt Targett","Left-Back","1995-09-18T00:00:00Z",21,"England","Southampton FC","Premier League","2017/2018",2017,"Matt","Targett",0,0,2,166,6,38.6,42.2,0,0,35,8.1,0,0,0,0.1,43,"2",1.20481927710843
"282","Sam McQueen","Left-Back","1995-02-06T00:00:00Z",22,"England","Southampton FC","Premier League","2017/2018",2017,"Sam","McQueen",0,0,14,142,2,34.2,29.4,8,2,49,7.2,1,0,0,0.1,42,"2",9.85915492957746
"283","Cédric Soares","Right-Back","1991-08-31T00:00:00Z",25,"Portugal","Southampton FC","Premier League","2017/2018",2017,"Cédric","Soares",0,3,85,2794,44,455.6,507,159,2,481,112.3,7,0,3,4,47,"2",3.04223335719399
"284","Jérémy Pied","Right-Back","1989-02-23T00:00:00Z",28,"France","Southampton FC","Premier League","2017/2018",2017,"Jérémy","Pied",0,1,7,180,3,29.9,65.8,4,1,47,10,0,0,0,0.1,42,"2",3.88888888888889
"285","Mario Lemina","Defensive Midfield","1993-09-01T00:00:00Z",23,"Gabon","Southampton FC","Premier League","2017/2018",2017,"Mario","Lemina",1,1,58,1715,31,170.6,363.6,145,5,337,67.8,4,0,2,0.2,48,"3",3.38192419825073
"286","James Ward-Prowse","Central Midfield","1994-11-01T00:00:00Z",22,"England","Southampton FC","Premier League","2017/2018",2017,"James","Ward-Prowse",3,5,84,1708,29,613.9,363.4,296,8,367,127.1,2,0,3,1.7,49,"3",4.91803278688525
"287","Steven Davis","Central Midfield","1985-01-01T00:00:00Z",32,"Northern Ireland","Southampton FC","Premier League","2017/2018",2017,"Steven","Davis",3,2,71,1515,21,350.8,345.2,126,6,337,82.5,4,0,0,1.3,47,"3",4.68646864686469
"288","Sofiane Boufal","Attacking Midfield","1993-09-17T00:00:00Z",23,"Morocco","Southampton FC","Premier League","2017/2018",2017,"Sofiane","Boufal",2,2,55,1206,24,351.6,289.4,397,2,215,103.7,1,0,1,0.2,57,"3",4.56053067993366
"289","Dusan Tadic","Left Winger","1988-11-20T00:00:00Z",28,"Serbia","Southampton FC","Premier League","2017/2018",2017,"Dusan","Tadic",6,3,122,2791,43,950.9,588.6,656,10,464,219.5,10,0,4,3.2,62,"4",4.37119312074525
"290","Nathan Redmond","Left Winger","1994-03-06T00:00:00Z",23,"England","Southampton FC","Premier League","2017/2018",2017,"Nathan","Redmond",1,3,72,1938,31,630.9,347,493,3,296,147.2,7,0,3,1.8,59,"4",3.71517027863777
"291","Manolo Gabbiadini","Centre-Forward","1991-11-26T00:00:00Z",25,"Italy","Southampton FC","Premier League","2017/2018",2017,"Manolo","Gabbiadini",5,0,66,1067,17,133.9,203,269,10,204,58.6,4,0,2,1.4,62,"5",6.18556701030928
"292","Charlie Austin","Centre-Forward","1989-07-05T00:00:00Z",27,"England","Southampton FC","Premier League","2017/2018",2017,"Charlie","Austin",7,1,72,1024,15,89.4,302.8,689,9,215,107.7,4,0,2,1.4,58,"5",7.03125
"293","Shane Long","Centre-Forward","1987-01-22T00:00:00Z",30,"Ireland","Southampton FC","Premier League","2017/2018",2017,"Shane","Long",2,2,53,1570,28,301.9,235.6,512,0,167,104.6,4,0,6,0.5,56,"5",3.37579617834395
"294","Guido Carrillo","Centre-Forward","1991-05-25T00:00:00Z",26,"Argentina","Southampton FC","Premier League","2017/2018",2017,"Guido","Carrillo",0,1,15,449,8,64.2,50.2,179,0,40,29.4,1,0,0,0,59,"5",3.34075723830735
"295","Michael Obafemi","Centre-Forward","2000-07-06T00:00:00Z",16,"Ireland","Southampton FC","Premier League","2017/2018",2017,"Michael","Obafemi",0,0,1,8,0,1.3,0,4,0,-1,0.3,0,0,0,0.7,45,"5",12.5
"296","Wayne Hennessey","Goalkeeper","1987-01-24T00:00:00Z",30,"Wales","Crystal Palace","Premier League","2017/2018",2017,"Wayne","Hennessey",0,0,99,2430,41,10,603.8,0,11,506,61.4,7,0,1,3.1,44,"1",4.07407407407407
"297","Diego Cavalieri","Goalkeeper","1982-12-01T00:00:00Z",34,"Brazil","Crystal Palace","Premier League","2017/2018",2017,"Diego","Cavalieri",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,"1",NA
"298","Dion Henry","Goalkeeper","1997-09-12T00:00:00Z",19,"England","Crystal Palace","Premier League","2017/2018",2017,"Dion","Henry",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,40,"1",NA
"299","Mamadou Sakho","Centre-Back","1990-02-13T00:00:00Z",27,"France","Crystal Palace","Premier League","2017/2018",2017,"Mamadou","Sakho",1,2,81,1597,23,30.7,426.2,77,18,405,53.6,6,0,1,1,46,"2",5.07201001878522
"300","James Tomkins","Centre-Back","1989-03-29T00:00:00Z",28,"England","Crystal Palace","Premier League","2017/2018",2017,"James","Tomkins",3,0,99,2386,32,22.4,712.6,309,9,512,104.7,9,0,8,4.4,44,"2",4.14920368818106
"301","Scott Dann","Centre-Back","1987-02-14T00:00:00Z",30,"England","Crystal Palace","Premier League","2017/2018",2017,"Scott","Dann",1,0,32,1434,26,62.3,342.2,268,0,211,67,1,0,4,0.3,46,"2",2.23152022315202
"302","Jairo Riedewald","Centre-Back","1996-09-09T00:00:00Z",20,"Netherlands","Crystal Palace","Premier League","2017/2018",2017,"Jairo","Riedewald",0,0,23,435,6,21.5,74.4,12,0,100,10.6,2,0,0,0.1,46,"2",5.28735632183908
"303","Jaroslaw Jach","Centre-Back","1994-02-17T00:00:00Z",23,"Poland","Crystal Palace","Premier League","2017/2018",2017,"Jaroslaw","Jach",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,"2",NA
"304","Damien Delaney","Centre-Back","1981-07-20T00:00:00Z",35,"Ireland","Crystal Palace","Premier League","2017/2018",2017,"Damien","Delaney",0,0,1,95,5,0.3,40,0,0,19,4,0,0,0,0.2,42,"2",1.05263157894737
"305","Patrick van Aanholt","Left-Back","1990-08-29T00:00:00Z",26,"Netherlands","Crystal Palace","Premier League","2017/2018",2017,"Patrick","van Aanholt",5,1,95,2182,38,303.8,537,319,7,448,116.3,6,0,7,3.1,52,"2",4.35380384967919
"306","Pape Souaré","Left-Back","1990-06-06T00:00:00Z",27,"Senegal","Crystal Palace","Premier League","2017/2018",2017,"Pape","Souaré",0,0,1,8,0,1.1,0.2,0,0,3,0.1,0,0,0,0,45,"2",12.5
"307","Joel Ward","Right-Back","1989-10-29T00:00:00Z",27,"England","Crystal Palace","Premier League","2017/2018",2017,"Joel","Ward",0,1,41,1613,25,163.5,340.6,58,0,276,56.3,4,0,4,0.2,47,"2",2.54184748915065
"308","Martin Kelly","Right-Back","1990-04-27T00:00:00Z",27,"England","Crystal Palace","Premier League","2017/2018",2017,"Martin","Kelly",0,0,34,1193,21,25.7,222.6,84,1,185,33.3,4,0,1,0.6,41,"2",2.84995808885163
"309","Timothy Fosu-Mensah","Right-Back","1998-01-02T00:00:00Z",19,"Netherlands","Crystal Palace","Premier League","2017/2018",2017,"Timothy","Fosu-Mensah",0,0,39,1592,29,103.7,326.6,43,3,279,47.4,2,0,2,1,44,"2",2.44974874371859
"310","Aaron Wan-Bissaka","Right-Back","1997-11-26T00:00:00Z",19,"England","Crystal Palace","Premier League","2017/2018",2017,"Aaron","Wan-Bissaka",0,0,15,627,10,60,207.2,2,0,116,26.8,2,0,1,0,45,"2",2.39234449760766
"311","Levi Lumeka","Midfielder","1998-09-05T00:00:00Z",18,"England","Crystal Palace","Premier League","2017/2018",2017,"Levi","Lumeka",0,0,1,25,0,0.5,4.2,18,0,3,2.3,0,0,0,0,44,"3",4
"312","Luka Milivojevic","Defensive Midfield","1991-04-07T00:00:00Z",26,"Serbia","Crystal Palace","Premier League","2017/2018",2017,"Luka","Milivojevic",10,2,144,3079,52,379,873.8,432,21,630,168.6,8,0,8,13.5,52,"3",4.67684313088665
"313","Yohan Cabaye","Central Midfield","1986-01-14T00:00:00Z",31,"France","Crystal Palace","Premier League","2017/2018",2017,"Yohan","Cabaye",0,4,73,2374,36,754,431.2,348,3,415,153.5,8,0,7,0.2,53,"3",3.07497893850042
"314","James McArthur","Central Midfield","1987-10-07T00:00:00Z",29,"Scotland","Crystal Palace","Premier League","2017/2018",2017,"James","McArthur",5,2,101,2425,35,333,490.6,566,9,416,138.9,7,0,5,4.7,44,"3",4.16494845360825
"315","Ruben Loftus-Cheek","Central Midfield","1996-01-23T00:00:00Z",21,"England","Crystal Palace","Premier League","2017/2018",2017,"Ruben","Loftus-Cheek",2,5,77,1871,30,377,379.2,487,2,337,124.5,6,0,1,3.5,44,"3",4.11544628540887
"316","Jordon Mutch","Central Midfield","1991-12-02T00:00:00Z",25,"England","Crystal Palace","Premier League","2017/2018",2017,"Jordon","Mutch",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,"3",NA
"317","Erdal Rakip","Central Midfield","1996-02-13T00:00:00Z",21,"Sweden","Crystal Palace","Premier League","2017/2018",2017,"Erdal","Rakip",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,"3",NA
"318","Jeffrey Schlupp","Left Midfield","1992-12-23T00:00:00Z",24,"Ghana","Crystal Palace","Premier League","2017/2018",2017,"Jeffrey","Schlupp",0,2,50,1742,30,189.7,339.6,155,0,281,68.6,3,0,3,0.2,47,"3",2.87026406429392
"319","Jason Puncheon","Attacking Midfield","1986-06-26T00:00:00Z",31,"England","Crystal Palace","Premier League","2017/2018",2017,"Jason","Puncheon",0,0,11,574,14,93.9,46.4,112,0,38,25.1,0,0,5,0.3,44,"3",1.91637630662021
"320","Chung-yong Lee","Attacking Midfield","1988-07-02T00:00:00Z",28,"Korea, South","Crystal Palace","Premier League","2017/2018",2017,"Chung-yong","Lee",0,0,8,131,3,32,4.4,10,0,23,4.6,0,0,0,0.3,42,"3",6.10687022900763
"321","Nya Kirby","Attacking Midfield","2000-01-31T00:00:00Z",17,"England","Crystal Palace","Premier League","2017/2018",2017,"Nya","Kirby",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,"3",NA
"322","Bakary Sako","Left Winger","1988-04-26T00:00:00Z",29,"Mali","Crystal Palace","Premier League","2017/2018",2017,"Bakary","Sako",3,0,36,466,10,103.1,143.2,227,1,115,46.9,1,0,0,0.1,48,"4",7.72532188841202
"323","Sullay Kaikai","Left Winger","1995-08-26T00:00:00Z",21,"England","Crystal Palace","Premier League","2017/2018",2017,"Sullay","Kaikai",0,0,1,13,0,0.3,5.2,0,0,5,0.6,0,0,0,0.1,43,"4",7.69230769230769
"324","Keshi Anderson","Left Winger","1995-04-06T00:00:00Z",22,"England","Crystal Palace","Premier League","2017/2018",2017,"Keshi","Anderson",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3,45,"4",NA
"325","Wilfried Zaha","Right Winger","1992-11-10T00:00:00Z",24,"Cote d'Ivoire","Crystal Palace","Premier League","2017/2018",2017,"Wilfried","Zaha",9,7,136,2549,31,716.9,668,1125,8,404,251,10,0,5,10.6,71,"4",5.33542565712044
"326","Andros Townsend","Right Winger","1991-07-16T00:00:00Z",25,"England","Crystal Palace","Premier League","2017/2018",2017,"Andros","Townsend",2,9,121,3120,48,1012.1,626,587,7,552,222.8,9,0,3,1.4,56,"4",3.87820512820513
"327","Jason Lokilo","Right Winger","1998-09-17T00:00:00Z",18,"Belgium","Crystal Palace","Premier League","2017/2018",2017,"Jason","Lokilo",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,43,"4",NA
"328","Christian Benteke","Centre-Forward","1990-12-03T00:00:00Z",26,"Belgium","Crystal Palace","Premier League","2017/2018",2017,"Christian","Benteke",3,7,84,2234,36,406.7,325.2,845,5,174,157.5,6,0,6,2.5,75,"5",3.76007162041182
"329","Connor Wickham","Centre-Forward","1993-03-31T00:00:00Z",24,"England","Crystal Palace","Premier League","2017/2018",2017,"Connor","Wickham",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,"5",NA
"330","James Daly","Centre-Forward","2000-01-12T00:00:00Z",17,"England","Crystal Palace","Premier League","2017/2018",2017,"James","Daly",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,45,"5",NA
"331","Jack Butland","Goalkeeper","1993-03-10T00:00:00Z",24,"England","Stoke City","Premier League","2017/2018",2017,"Jack","Butland",0,0,125,3150,61,10,1013.4,0,16,687,102.5,6,0,0,2.5,50,"1",3.96825396825397
"332","Lee Grant","Goalkeeper","1983-01-27T00:00:00Z",34,"England","Stoke City","Premier League","2017/2018",2017,"Lee","Grant",0,0,5,270,7,0,64.2,0,0,44,6.3,0,0,0,0.2,42,"1",1.85185185185185
"333","Jakob Haugaard","Goalkeeper","1992-05-01T00:00:00Z",25,"Denmark","Stoke City","Premier League","2017/2018",2017,"Jakob","Haugaard",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,40,"1",NA
"334","Kurt Zouma","Centre-Back","1994-10-27T00:00:00Z",22,"France","Stoke City","Premier League","2017/2018",2017,"Kurt","Zouma",1,0,87,2887,50,91.8,814.2,235,5,554,114.4,7,0,1,2,54,"2",3.0135088326983
"335","Bruno Martins Indi","Centre-Back","1992-02-08T00:00:00Z",25,"Netherlands","Stoke City","Premier League","2017/2018",2017,"Bruno","Martins Indi",0,0,20,1242,28,48.3,241.8,60,0,171,35.1,1,0,3,0,49,"2",1.61030595813204
"336","Ryan Shawcross","Centre-Back","1987-10-04T00:00:00Z",29,"England","Stoke City","Premier League","2017/2018",2017,"Ryan","Shawcross",1,1,67,2371,40,26.5,656,276,2,356,96,5,0,2,0.8,48,"2",2.82581189371573
"337","Kevin Wimmer","Centre-Back","1992-11-15T00:00:00Z",24,"Austria","Stoke City","Premier League","2017/2018",2017,"Kevin","Wimmer",0,0,19,1321,32,38.8,297,28,1,196,36.5,1,0,5,0.3,40,"2",1.43830431491294
"338","Harry Souttar","Centre-Back","1998-10-22T00:00:00Z",18,"Australia","Stoke City","Premier League","2017/2018",2017,"Harry","Souttar",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,40,"2",NA
